original_cname,mapped_cname
AMS3561,# Dept Store Tr Wo Rat Ever 90 DPD
AMS3562,# Inst Tr Wo Rat Ever 90 DPD
AMS3566,# Rev Tr Wo Rat Ever 90 DPD
AMS3567,# Retail Tr Wo Rat Ever 90 DPD
AMS3568,# Tr Wo Rat Ever 120-180 or More DPD
AMS3569,# Auto Tr Wo Rat Ever 120-180 or More DPD
AMS3570,# Bkcrd Tr Wo Rat Ever 120-180 or More DPD
AMS3572,# Dept Store Tr Wo Rat Ever 120-180 or More DPD
AMS3573,# Inst Tr Wo Rat Ever120-180 or More DPD
AMS3577,# Rev Tr Wo Rat Ever120-180 or More DPD
AMS3578,# Retail Tr Wo Rat Ever120-180 or More DPD
AMS3579,Worst Rating w/in 3 M Auto Trades
AMS3580,Worst Rating w/in 3 M Mortgage Trades
AMS3581,# Trades w/ MajDerog Reported w/in 6 M
AMS3583,# Bkcrd Trades w/ MajDerog Reported w/in 6 M
AMS3585,# Dept Store Trades w/ MajDerog Reported w/in 6 M
AMS3586,# Inst Trades w/ MajDerog Reported w/in 6 M
AMS3589,# Retail Trades w/ MajDerog Reported w/in 6 M
AMS3590,# Rev Trades w/ MajDerog Reported w/in 6 M
AMS3592,# Trades w/ MajDerog Event w/in 24 M 
AMS3593,# Auto Trades w/ MajDerog Event w/in 24 M
AMS3594,# Bkcrd Trades w/ MajDerog Event w/in 24 M
AMS3596,# Dept Store Trades w/ MajDerog Event w/in 24 M
AMS3597,# Inst Trades w/ MajDerog Event w/in 24 M
AMS3598,# Mortgage Trades w/ MajDerog Event w/in 24 M
AMS3600,# Retail Trades w/ MajDerog Event w/in 24 M
AMS3601,# Rev Trades w/ MajDerog Event w/in 24 M
AMS3602,# Sales Finance Trades w/ MajDerog Event w/in 24 M
AMS3603,# Trades MajDerog
AMS3605,# Bkcrd Trades MajDerog
AMS3607,# Dept Store Trades MajDerog
AMS3608,# Inst Trades MajDerog
AMS3609,# Auto Trades MajDerog
AMS3610,# Mortgage Trades MajDerog
AMS3611,# Retail Trades MajDerog
AMS3612,# Rev Trades MajDerog
AMS3614,# Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3616,# Bkcrd Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3618,# Dept Store Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3619,# Inst Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3622,# Retail Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3623,# Rev Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3624,# Sales Finance Trades w/ Unpaid MajDerog Event w/in 24 M
AMS3625,# Trades Unpaid MajDerog
AMS3627,# Bkcrd Trades Unpaid MajDerog 
AMS3629,# Dept Store Trades Unpaid MajDerog 
AMS3630,# Inst Trades Unpaid MajDerog 
AMS3633,# Retail Trades Unpaid MajDerog 
AMS3634,# Rev Trades Unpaid MajDerog 
AMS3723,# Open Retail Trades w/ Update w/in 3 M w/ Bal >= 50% High Credit
AMS3724,# Open Rev Trades w/ Update w/in 3 M w/ Bal >= 50% High Credit 
AMS3725,# Open Auto Trades w/ Update w/in 3 M w/ Bal >= 75% Loan Amount 
AMS3726,# Open Bkcrd Trades w/ Update w/in 3 M w/ Bal >= 75% High Credit 
AMS3727,# Open Dept Store Trades w/ Update w/in 3 M w/ Bal >= 75% High Credit 
AMS3728,# Open Inst Trades w/ Update w/in 3 M w/ Bal >= 75% Loan Amount 
AMS3729,# Open Mortgage Trades w/ Update w/in 3 M w/ Bal >= 75% Loan Amount 
AMS3743,M on File
AMS3744,# Retail Trades Reported w/in 3 M
AMS3745,# Retail Trades Reported w/in 6 M
AMS3746,Subject’s Age
AMS3747,# Trades Reported w/in 3 M
AMS3748,# Bkcrd Trades Reported w/in 3 M
AMS3749,# Dept Store Trades Reported w/in 3 M
AMS3750,# Inst Trades Reported w/in 3 M
AMS3751,# Rev Trades Reported w/in 3 M
AMS3752,# Trades Reported w/in 6 M
AMS3753,# Bkcrd Trades Reported w/in 6 M
AMS3754,# Rev Trades Reported w/in 6 M
AMS3755,Age Newest Date Last Activity Trades Paid as Agreed
AMS3756,Age Newest Date Last Activity Bkcrd Trades Paid as Agreed
AMS3757,Age Newest Date Last Activity Inst Trades Paid as Agreed
AMS3758,Age Newest Date Last Activity Rev Trades Paid as Agreed
AMS3759,Age Newest Date Last Activity Trades Other Than Paid as Agreed
AMS3760,Age Newest Date Last Activity Bkcrd Trades Other Than Paid as Agreed
AMS3761,Age Newest Date Last Activity Inst Trades Other Than Paid as Agreed
AMS3762,Age Newest Date Last Activity Rev Trades Other Than Paid as Agreed
AMS3794,# Unpaid 3rd Party Collections w/in 12 M
AMS3795,# Unpaid 3rd Party Collections w/in 24 M
AMS3796,# Unpaid 3rd Party Collections
AMS3797,T Collection Amount Unpaid 3rd Party Collections w/in 12 M
AMS3798,T Collection Amount Unpaid 3rd Party  Collections w/in 24 M
AMS3799,T Collection Amount Unpaid 3rd Party Collections
AMS3800,Dismissed Bankruptcy Public Record w/in 24 M Flag
